target_text,search_text,body_type
10051,10051 Albee,10051 Albee,asteroid
8439,8439 Albellus,8439 Albellus,asteroid
10186,10186 Albeniz,10186 Albeniz,asteroid
719,719 Albert,719 Albert,asteroid
85168,85168 Albertacentenary,85168 Albertacentenary,asteroid
26462,26462 Albertcui,26462 Albertcui,asteroid
1290,1290 Albertine,1290 Albertine,asteroid
10950,10950 Albertjansen,10950 Albertjansen,asteroid
19718,19718 Albertjarvis,19718 Albertjarvis,asteroid
58373,58373 Albertoalonso,58373 Albertoalonso,asteroid
80652,80652 Albertoangela,80652 Albertoangela,asteroid
21395,21395 Albertofilho,21395 Albertofilho,asteroid
83657,83657 Albertosordi,83657 Albertosordi,asteroid
60406,60406 Albertosuci,60406 Albertosuci,asteroid
21413,21413 Albertsao,21413 Albertsao,asteroid
21623,21623 Albertshieh,21623 Albertshieh,asteroid
20006,20006 Albertus Magnus,20006 Albertus Magnus,asteroid
15619,15619 Albertwu,15619 Albertwu,asteroid
175419,175419 Albiesachs,175419 Albiesachs,asteroid
8594,8594 Albifrons,8594 Albifrons,asteroid
2697,2697 Albina,2697 Albina,asteroid
8005,8005 Albinadubois,8005 Albinadubois,asteroid
7903,7903 Albinoni,7903 Albinoni,asteroid
15760,15760 Albion,15760 Albion,asteroid
7671,7671 Albis,7671 Albis,asteroid
344581,344581 Albisetti,344581 Albisetti,asteroid
1783,1783 Albitskij,1783 Albitskij,asteroid
10656,10656 Albrecht,10656 Albrecht,asteroid
34281,34281 Albritton,34281 Albritton,asteroid
12607,12607 Alcaeus,12607 Alcaeus,asteroid
2241,2241 Alcathous,2241 Alcathous,asteroid
8596,8596 Alchata,8596 Alchata,asteroid
8549,8549 Alcide,8549 Alcide,asteroid
360072,360072 Alcimedon,360072 Alcimedon,asteroid
11428,11428 Alcinoos,11428 Alcinoos,asteroid
3174,3174 Alcock,3174 Alcock,asteroid
22899,22899 Alconrad,22899 Alconrad,asteroid
16645,16645 Aldalara,16645 Aldalara,asteroid
44103,44103 Aldana,44103 Aldana,asteroid
13004,13004 Aldaz,13004 Aldaz,asteroid
2941,2941 Alden,2941 Alden,asteroid
17921,17921 Aldeobaldia,17921 Aldeobaldia,asteroid
26533,26533 Aldering,26533 Aldering,asteroid
17019,17019 Aldo,17019 Aldo,asteroid
10758,10758 Aldoushuxley,10758 Aldoushuxley,asteroid
6470,6470 Aldrin,6470 Aldrin,asteroid
14832,14832 Alechinsky,14832 Alechinsky,asteroid
33413,33413 Alecsun,33413 Alecsun,asteroid
15379,15379 Alefranz,15379 Alefranz,asteroid
23436,23436 Alekfursenko,23436 Alekfursenko,asteroid
1909,1909 Alekhin,1909 Alekhin,asteroid
7222,7222 Alekperov,7222 Alekperov,asteroid
2711,2711 Aleksandrov,2711 Aleksandrov,asteroid
9933,9933 Alekseev,9933 Alekseev,asteroid
9533,9533 Aleksejleonov,9533 Aleksejleonov,asteroid
7910,7910 Aleksola,7910 Aleksola,asteroid
465,465 Alekto,465 Alekto,asteroid
418,418 Alemannia,418 Alemannia,asteroid
82153,82153 Alemigliorini,82153 Alemigliorini,asteroid
12061,12061 Alena,12061 Alena,asteroid
22842,22842 Alenashort,22842 Alenashort,asteroid
58682,58682 Alenasolcova,58682 Alenasolcova,asteroid
16683,16683 Alepieri,16683 Alepieri,asteroid
13128,13128 Aleppo,13128 Aleppo,asteroid
5185,5185 Alerossi,5185 Alerossi,asteroid
70745,70745 Aleserpieri,70745 Aleserpieri,asteroid
185039,185039 Alessiapossenti,185039 Alessiapossenti,asteroid
78309,78309 Alessielisa,78309 Alessielisa,asteroid
243381,243381 Alessio,243381 Alessio,asteroid
13704,13704 Aletesi,13704 Aletesi,asteroid
259,259 Aletheia,259 Aletheia,asteroid
1194,1194 Aletta,1194 Aletta,asteroid
69231,69231 Alettajacobs,69231 Alettajacobs,asteroid
3367,3367 Alex,3367 Alex,asteroid
21422,21422 Alexacarey,21422 Alexacarey,asteroid
22942,22942 Alexacourtis,22942 Alexacourtis,asteroid
296907,296907 Alexander,296907 Alexander,asteroid
50428,50428 Alexanderdessler,50428 Alexanderdessler,asteroid
190617,190617 Alexandergerst,190617 Alexandergerst,asteroid
25426,25426 Alexanderkim,25426 Alexanderkim,asteroid
30310,30310 Alexanderlin,30310 Alexanderlin,asteroid
34144,34144 Alexandersun,34144 Alexandersun,asteroid
7660,7660 Alexanderwilson,7660 Alexanderwilson,asteroid
25645,25645 Alexanderyan,25645 Alexanderyan,asteroid
54,54 Alexandra,54 Alexandra,asteroid
346261,346261 Alexandrescu,346261 Alexandrescu,asteroid
8969,8969 Alexandrinus,8969 Alexandrinus,asteroid
32768,32768 Alexandripatov,32768 Alexandripatov,asteroid
21986,21986 Alexanduribe,21986 Alexanduribe,asteroid
218866,218866 Alexantioch,218866 Alexantioch,asteroid
17073,17073 Alexblank,17073 Alexblank,asteroid
28453,28453 Alexcecil,28453 Alexcecil,asteroid
21461,21461 Alexchernyak,21461 Alexchernyak,asteroid
23162,23162 Alexcrook,23162 Alexcrook,asteroid
3771,3771 Alexejtolstoj,3771 Alexejtolstoj,asteroid
263516,263516 Alexescu,263516 Alexescu,asteroid
17193,17193 Alexeybaran,17193 Alexeybaran,asteroid
14220,14220 Alexgibbs,14220 Alexgibbs,asteroid
333717,333717 Alexgreaves,333717 Alexgreaves,asteroid
24130,24130 Alexhuang,24130 Alexhuang,asteroid
31951,31951 Alexisallen,31951 Alexisallen,asteroid
17119,17119 Alexisrodrz,17119 Alexisrodrz,asteroid
31389,31389 Alexkaplan,31389 Alexkaplan,asteroid
15021,15021 Alexkardon,15021 Alexkardon,asteroid
25701,25701 Alexkeeler,25701 Alexkeeler,asteroid
9321,9321 Alexkonopliv,9321 Alexkonopliv,asteroid
15032,15032 Alexlevin,15032 Alexlevin,asteroid
321453,321453 Alexmarieann,321453 Alexmarieann,asteroid
129068,129068 Alexmay,129068 Alexmay,asteroid
